tracking_range,annotation_range,tracking_frames,annotation_frames,overlap_frames,tracking_utilization_ratio,annotation_coverage_ratio,status,action,final_range,folder,file
"(0, 8602)","(9, 8316)",8603,8308,8308,0.96571,1.0,auto_trim,trim_to_intersection,"(9, 8316)",CalMS21_supplemental,1915789767.parquet
"(0, 35090)","(182, 34878)",35091,34697,34697,0.988772,1.0,auto_trim,trim_to_intersection,"(182, 34878)",CalMS21_supplemental,1917012134.parquet
"(0, 26424)","(1, 26424)",26425,26424,26424,0.999962,1.0,aligned,none,"(1, 26424)",CalMS21_supplemental,1952344815.parquet
"(0, 20194)","(20, 20194)",20195,20175,20175,0.99901,1.0,aligned,none,"(20, 20194)",CalMS21_supplemental,1954031391.parquet
"(0, 9116)","(1, 9007)",9117,9007,9007,0.987935,1.0,auto_trim,trim_to_intersection,"(1, 9007)",CalMS21_supplemental,1962858066.parquet
"(0, 19366)","(1, 19216)",19367,19216,19216,0.992203,1.0,aligned,none,"(1, 19216)",CalMS21_supplemental,1970018431.parquet
"(0, 26496)","(1, 26496)",26497,26496,26496,0.999962,1.0,aligned,none,"(1, 26496)",CalMS21_supplemental,1980223276.parquet
"(0, 10522)","(1, 10398)",10523,10398,10398,0.988121,1.0,auto_trim,trim_to_intersection,"(1, 10398)",CalMS21_supplemental,1984570060.parquet
"(0, 26639)","(92, 25805)",26640,25714,25714,0.96524,1.0,auto_trim,trim_to_intersection,"(92, 25805)",CalMS21_supplemental,1988640923.parquet
"(0, 17794)","(46, 16684)",17795,16639,16639,0.935038,1.0,manual_review,check_alignment,"(46, 16684)",CalMS21_supplemental,199044781.parquet
"(0, 11208)","(1, 10942)",11209,10942,10942,0.97618,1.0,auto_trim,trim_to_intersection,"(1, 10942)",CalMS21_supplemental,1991863389.parquet
"(0, 28039)","(92, 27861)",28040,27770,27770,0.990371,1.0,aligned,none,"(92, 27861)",CalMS21_supplemental,2010437126.parquet
"(0, 19807)","(1094, 19807)",19808,18714,18714,0.94477,1.0,manual_review,check_alignment,"(1094, 19807)",CalMS21_supplemental,2017225429.parquet
"(0, 26374)","(1, 26371)",26375,26371,26371,0.999848,1.0,aligned,none,"(1, 26371)",CalMS21_supplemental,2030380897.parquet
"(0, 16873)","(723, 16873)",16874,16151,16151,0.957153,1.0,auto_trim,trim_to_intersection,"(723, 16873)",CalMS21_supplemental,2032102979.parquet
"(0, 19191)","(50, 19191)",19192,19142,19142,0.997395,1.0,aligned,none,"(50, 19191)",CalMS21_supplemental,2034534324.parquet
"(0, 5270)","(68, 5015)",5271,4948,4948,0.938721,1.0,manual_review,check_alignment,"(68, 5015)",CalMS21_supplemental,204814054.parquet
"(0, 17860)","(65, 17628)",17861,17564,17564,0.983372,1.0,auto_trim,trim_to_intersection,"(65, 17628)",CalMS21_supplemental,2050459549.parquet
"(0, 18290)","(154, 17249)",18291,17096,17096,0.934667,1.0,manual_review,check_alignment,"(154, 17249)",CalMS21_supplemental,2057608448.parquet
"(0, 26872)","(31, 26820)",26873,26790,26790,0.996911,1.0,aligned,none,"(31, 26820)",CalMS21_supplemental,206411405.parquet
"(0, 6478)","(9, 6327)",6479,6319,6319,0.975305,1.0,auto_trim,trim_to_intersection,"(9, 6327)",CalMS21_supplemental,2071350962.parquet
"(0, 26345)","(1, 25795)",26346,25795,25795,0.979086,1.0,auto_trim,trim_to_intersection,"(1, 25795)",CalMS21_supplemental,2084840600.parquet
"(0, 27067)","(5, 26770)",27068,26766,26766,0.988843,1.0,auto_trim,trim_to_intersection,"(5, 26770)",CalMS21_supplemental,2103676486.parquet
"(0, 20473)","(684, 20473)",20474,19790,19790,0.966592,1.0,auto_trim,trim_to_intersection,"(684, 20473)",CalMS21_supplemental,2109429295.parquet
"(0, 19077)","(1250, 19077)",19078,17828,17828,0.93448,1.0,manual_review,check_alignment,"(1250, 19077)",CalMS21_supplemental,211473435.parquet
"(0, 35822)","(7, 35681)",35823,35675,35675,0.995869,1.0,aligned,none,"(7, 35681)",CalMS21_supplemental,2118799217.parquet
"(0, 8262)","(1, 7315)",8263,7315,7315,0.885272,1.0,manual_review,check_alignment,"(1, 7315)",CalMS21_supplemental,2121861703.parquet
"(0, 25998)","(199, 17855)",25999,17657,17657,0.679142,1.0,manual_review,check_alignment,"(199, 17855)",CalMS21_supplemental,2122787540.parquet
"(0, 27881)","(163, 27844)",27882,27682,27682,0.992827,1.0,aligned,none,"(163, 27844)",CalMS21_supplemental,2131370806.parquet
"(0, 7937)","(22, 7705)",7938,7684,7684,0.968002,1.0,auto_trim,trim_to_intersection,"(22, 7705)",CalMS21_supplemental,2137179735.parquet
"(0, 17256)","(1, 17183)",17257,17183,17183,0.995712,1.0,aligned,none,"(1, 17183)",CalMS21_supplemental,2143302778.parquet
"(0, 20791)","(1250, 20791)",20792,19542,19542,0.939881,1.0,manual_review,check_alignment,"(1250, 20791)",CalMS21_supplemental,229613936.parquet
"(0, 28670)","(4, 28469)",28671,28466,28466,0.99285,1.0,aligned,none,"(4, 28469)",CalMS21_supplemental,247581397.parquet
"(0, 29645)","(4, 29371)",29646,29368,29368,0.990623,1.0,aligned,none,"(4, 29371)",CalMS21_supplemental,257443481.parquet
"(0, 13004)","(1274, 12667)",13005,11394,11394,0.876125,1.0,manual_review,check_alignment,"(1274, 12667)",CalMS21_supplemental,270605934.parquet
"(0, 17668)","(454, 17668)",17669,17215,17215,0.974305,1.0,auto_trim,trim_to_intersection,"(454, 17668)",CalMS21_supplemental,283078835.parquet
"(0, 6100)","(529, 5968)",6101,5440,5440,0.891657,1.0,manual_review,check_alignment,"(529, 5968)",CalMS21_supplemental,287957149.parquet
"(0, 7457)","(1, 7115)",7458,7115,7115,0.954009,1.0,auto_trim,trim_to_intersection,"(1, 7115)",CalMS21_supplemental,29204526.parquet
"(0, 9276)","(4, 9126)",9277,9123,9123,0.9834,1.0,auto_trim,trim_to_intersection,"(4, 9126)",CalMS21_supplemental,292722123.parquet
"(0, 31708)","(4, 31639)",31709,31636,31636,0.997698,1.0,aligned,none,"(4, 31639)",CalMS21_supplemental,293032904.parquet
"(0, 27140)","(59, 27140)",27141,27082,27082,0.997826,1.0,aligned,none,"(59, 27140)",CalMS21_supplemental,293971737.parquet
"(0, 18114)","(80, 17978)",18115,17899,17899,0.988076,1.0,auto_trim,trim_to_intersection,"(80, 17978)",CalMS21_supplemental,29829833.parquet
"(0, 5939)","(4, 5775)",5940,5772,5772,0.971717,1.0,auto_trim,trim_to_intersection,"(4, 5775)",CalMS21_supplemental,298840331.parquet
"(0, 7626)","(139, 7441)",7627,7303,7303,0.957519,1.0,auto_trim,trim_to_intersection,"(139, 7441)",CalMS21_supplemental,304455631.parquet
"(0, 10063)","(154, 9890)",10064,9737,9737,0.967508,1.0,auto_trim,trim_to_intersection,"(154, 9890)",CalMS21_supplemental,311944917.parquet
"(0, 11181)","(33, 11095)",11182,11063,11063,0.989358,1.0,auto_trim,trim_to_intersection,"(33, 11095)",CalMS21_supplemental,31444359.parquet
"(0, 25514)","(110, 25495)",25515,25386,25386,0.994944,1.0,aligned,none,"(110, 25495)",CalMS21_supplemental,318716558.parquet
"(0, 17085)","(996, 17085)",17086,16090,16090,0.941707,1.0,manual_review,check_alignment,"(996, 17085)",CalMS21_supplemental,320652992.parquet
"(0, 17504)","(214, 14004)",17505,13791,13791,0.787832,1.0,manual_review,check_alignment,"(214, 14004)",CalMS21_supplemental,321538526.parquet
"(0, 6407)","(1, 6112)",6408,6112,6112,0.953808,1.0,auto_trim,trim_to_intersection,"(1, 6112)",CalMS21_supplemental,324704866.parquet
"(0, 26695)","(58, 26344)",26696,26287,26287,0.984679,1.0,auto_trim,trim_to_intersection,"(58, 26344)",CalMS21_supplemental,35021334.parquet
"(0, 26281)","(22, 26281)",26282,26260,26260,0.999163,1.0,aligned,none,"(22, 26281)",CalMS21_supplemental,352625654.parquet
"(0, 26759)","(75, 25590)",26760,25516,25516,0.953513,1.0,auto_trim,trim_to_intersection,"(75, 25590)",CalMS21_supplemental,358516464.parquet
"(0, 26596)","(22, 26505)",26597,26484,26484,0.995751,1.0,aligned,none,"(22, 26505)",CalMS21_supplemental,379027684.parquet
"(0, 4355)","(434, 4261)",4356,3828,3828,0.878788,1.0,manual_review,check_alignment,"(434, 4261)",CalMS21_supplemental,379641005.parquet
"(0, 5498)","(410, 5498)",5499,5089,5089,0.925441,1.0,manual_review,check_alignment,"(410, 5498)",CalMS21_supplemental,397643142.parquet
"(0, 5388)","(1, 5119)",5389,5119,5119,0.949898,1.0,manual_review,check_alignment,"(1, 5119)",CalMS21_supplemental,398952794.parquet
"(0, 17963)","(88, 16461)",17964,16374,16374,0.91149,1.0,manual_review,check_alignment,"(88, 16461)",CalMS21_supplemental,40742782.parquet
"(0, 37272)","(133, 37272)",37273,37140,37140,0.996432,1.0,aligned,none,"(133, 37272)",CalMS21_supplemental,40750804.parquet
"(0, 10550)","(1, 10243)",10551,10243,10243,0.970808,1.0,auto_trim,trim_to_intersection,"(1, 10243)",CalMS21_supplemental,416793024.parquet
"(0, 36270)","(40, 36235)",36271,36196,36196,0.997932,1.0,aligned,none,"(40, 36235)",CalMS21_supplemental,419242179.parquet
"(0, 18282)","(10, 17991)",18283,17982,17982,0.983537,1.0,auto_trim,trim_to_intersection,"(10, 17991)",CalMS21_supplemental,423087515.parquet
"(0, 14309)","(1, 14018)",14310,14018,14018,0.979595,1.0,auto_trim,trim_to_intersection,"(1, 14018)",CalMS21_supplemental,42319786.parquet
"(0, 11969)","(1, 11865)",11970,11865,11865,0.991228,1.0,aligned,none,"(1, 11865)",CalMS21_supplemental,427319973.parquet
"(0, 17686)","(1, 17118)",17687,17118,17118,0.967829,1.0,auto_trim,trim_to_intersection,"(1, 17118)",CalMS21_supplemental,427774009.parquet
"(0, 35502)","(152, 35295)",35503,35144,35144,0.989888,1.0,auto_trim,trim_to_intersection,"(152, 35295)",CalMS21_supplemental,436212660.parquet
"(0, 8150)","(51, 6107)",8151,6057,6057,0.743099,1.0,manual_review,check_alignment,"(51, 6107)",CalMS21_supplemental,446352765.parquet
"(0, 36405)","(63, 36145)",36406,36083,36083,0.991128,1.0,aligned,none,"(63, 36145)",CalMS21_supplemental,452068803.parquet
"(0, 10473)","(19, 10473)",10474,10455,10455,0.998186,1.0,aligned,none,"(19, 10473)",CalMS21_supplemental,455337890.parquet
"(0, 26786)","(63, 26786)",26787,26724,26724,0.997648,1.0,aligned,none,"(63, 26786)",CalMS21_supplemental,456109830.parquet
"(0, 36583)","(153, 36546)",36584,36394,36394,0.994806,1.0,aligned,none,"(153, 36546)",CalMS21_supplemental,461440057.parquet
"(0, 18126)","(34, 16872)",18127,16839,16839,0.928946,1.0,manual_review,check_alignment,"(34, 16872)",CalMS21_supplemental,467701507.parquet
"(0, 9113)","(1, 8901)",9114,8901,8901,0.976629,1.0,auto_trim,trim_to_intersection,"(1, 8901)",CalMS21_supplemental,48387399.parquet
"(0, 36354)","(35, 35420)",36355,35386,35386,0.973346,1.0,auto_trim,trim_to_intersection,"(35, 35420)",CalMS21_supplemental,495791948.parquet
"(0, 11738)","(30, 11671)",11739,11642,11642,0.991737,1.0,aligned,none,"(30, 11671)",CalMS21_supplemental,501836189.parquet
"(0, 26220)","(269, 26220)",26221,25952,25952,0.989741,1.0,auto_trim,trim_to_intersection,"(269, 26220)",CalMS21_supplemental,502201747.parquet
"(0, 6782)","(12, 6485)",6783,6474,6474,0.954445,1.0,auto_trim,trim_to_intersection,"(12, 6485)",CalMS21_supplemental,506737762.parquet
"(0, 18616)","(233, 18298)",18617,18066,18066,0.970403,1.0,auto_trim,trim_to_intersection,"(233, 18298)",CalMS21_supplemental,512573715.parquet
"(0, 26902)","(52, 26785)",26903,26734,26734,0.993718,1.0,aligned,none,"(52, 26785)",CalMS21_supplemental,518945549.parquet
"(0, 19206)","(918, 19206)",19207,18289,18289,0.952205,1.0,auto_trim,trim_to_intersection,"(918, 19206)",CalMS21_supplemental,518985954.parquet
"(0, 9413)","(48, 8804)",9414,8757,8757,0.93021,1.0,manual_review,check_alignment,"(48, 8804)",CalMS21_supplemental,52039908.parquet
"(0, 5452)","(1, 5343)",5453,5343,5343,0.979828,1.0,auto_trim,trim_to_intersection,"(1, 5343)",CalMS21_supplemental,522883468.parquet
"(0, 21354)","(762, 21354)",21355,20593,20593,0.964317,1.0,auto_trim,trim_to_intersection,"(762, 21354)",CalMS21_supplemental,531583938.parquet
"(0, 17380)","(55, 17149)",17381,17095,17095,0.983545,1.0,auto_trim,trim_to_intersection,"(55, 17149)",CalMS21_supplemental,531669534.parquet
"(0, 36461)","(132, 35892)",36462,35761,35761,0.980775,1.0,auto_trim,trim_to_intersection,"(132, 35892)",CalMS21_supplemental,537555916.parquet
"(0, 5290)","(116, 5190)",5291,5075,5075,0.959176,1.0,auto_trim,trim_to_intersection,"(116, 5190)",CalMS21_supplemental,54306566.parquet
"(0, 26187)","(34, 25918)",26188,25885,25885,0.98843,1.0,auto_trim,trim_to_intersection,"(34, 25918)",CalMS21_supplemental,543628016.parquet
"(0, 36075)","(55, 36046)",36076,35992,35992,0.997672,1.0,aligned,none,"(55, 36046)",CalMS21_supplemental,544047008.parquet
"(0, 25909)","(121, 25857)",25910,25737,25737,0.993323,1.0,aligned,none,"(121, 25857)",CalMS21_supplemental,550605327.parquet
"(0, 19028)","(109, 18978)",19029,18870,18870,0.991644,1.0,aligned,none,"(109, 18978)",CalMS21_supplemental,552808855.parquet
"(0, 4051)","(18, 4005)",4052,3988,3988,0.984205,1.0,auto_trim,trim_to_intersection,"(18, 4005)",CalMS21_supplemental,553713693.parquet
"(0, 17827)","(106, 17827)",17828,17722,17722,0.994054,1.0,aligned,none,"(106, 17827)",CalMS21_supplemental,560149373.parquet
"(0, 5883)","(1, 5578)",5884,5578,5578,0.947995,1.0,manual_review,check_alignment,"(1, 5578)",CalMS21_supplemental,56352203.parquet
"(0, 26127)","(1, 25732)",26128,25732,25732,0.984844,1.0,auto_trim,trim_to_intersection,"(1, 25732)",CalMS21_supplemental,564614304.parquet
"(0, 26952)","(31, 26952)",26953,26922,26922,0.99885,1.0,aligned,none,"(31, 26952)",CalMS21_supplemental,566896495.parquet
"(0, 21982)","(2051, 21982)",21983,19932,19932,0.906701,1.0,manual_review,check_alignment,"(2051, 21982)",CalMS21_supplemental,571702992.parquet
"(0, 6175)","(302, 5873)",6176,5572,5572,0.902202,1.0,manual_review,check_alignment,"(302, 5873)",CalMS21_supplemental,577041568.parquet
"(0, 17897)","(160, 17860)",17898,17701,17701,0.988993,1.0,auto_trim,trim_to_intersection,"(160, 17860)",CalMS21_supplemental,583997490.parquet
"(0, 10135)","(108, 6820)",10136,6713,6713,0.662293,1.0,manual_review,check_alignment,"(108, 6820)",CalMS21_supplemental,591324785.parquet
"(0, 12640)","(185, 12385)",12641,12201,12201,0.965193,1.0,auto_trim,trim_to_intersection,"(185, 12385)",CalMS21_supplemental,598974879.parquet
"(0, 16687)","(195, 12290)",16688,12096,12096,0.724832,1.0,manual_review,check_alignment,"(195, 12290)",CalMS21_supplemental,605925180.parquet
"(0, 24611)","(1, 24590)",24612,24590,24590,0.999106,1.0,aligned,none,"(1, 24590)",CalMS21_supplemental,616524351.parquet
"(0, 35284)","(269, 35270)",35285,35002,35002,0.99198,1.0,aligned,none,"(269, 35270)",CalMS21_supplemental,629313314.parquet
"(0, 12371)","(47, 12229)",12372,12183,12183,0.984724,1.0,auto_trim,trim_to_intersection,"(47, 12229)",CalMS21_supplemental,64642705.parquet
"(0, 28247)","(4, 28159)",28248,28156,28156,0.996743,1.0,aligned,none,"(4, 28159)",CalMS21_supplemental,650064423.parquet
"(0, 5868)","(4601, 4673)",5869,73,73,0.012438,1.0,manual_review,check_alignment,"(4601, 4673)",CalMS21_supplemental,659029417.parquet
"(0, 18214)","(56, 18169)",18215,18114,18114,0.994455,1.0,aligned,none,"(56, 18169)",CalMS21_supplemental,672951482.parquet
"(0, 10320)","(1, 10037)",10321,10037,10037,0.972483,1.0,auto_trim,trim_to_intersection,"(1, 10037)",CalMS21_supplemental,680884492.parquet
"(0, 8102)","(1, 7897)",8103,7897,7897,0.974577,1.0,auto_trim,trim_to_intersection,"(1, 7897)",CalMS21_supplemental,685535880.parquet
"(0, 35851)","(6, 35758)",35852,35753,35753,0.997239,1.0,aligned,none,"(6, 35758)",CalMS21_supplemental,695462600.parquet
"(0, 26227)","(89, 25957)",26228,25869,25869,0.986312,1.0,auto_trim,trim_to_intersection,"(89, 25957)",CalMS21_supplemental,708536757.parquet
"(0, 19859)","(19, 19859)",19860,19841,19841,0.999043,1.0,aligned,none,"(19, 19859)",CalMS21_supplemental,716655035.parquet
"(0, 21601)","(2871, 21601)",21602,18731,18731,0.867096,1.0,manual_review,check_alignment,"(2871, 21601)",CalMS21_supplemental,720733765.parquet
"(0, 16148)","(482, 15947)",16149,15466,15466,0.957706,1.0,auto_trim,trim_to_intersection,"(482, 15947)",CalMS21_supplemental,72488788.parquet
"(0, 18088)","(180, 17983)",18089,17804,17804,0.984245,1.0,auto_trim,trim_to_intersection,"(180, 17983)",CalMS21_supplemental,729100934.parquet
"(0, 11349)","(37, 11200)",11350,11164,11164,0.983612,1.0,auto_trim,trim_to_intersection,"(37, 11200)",CalMS21_supplemental,736444046.parquet
"(0, 8139)","(1, 7481)",8140,7481,7481,0.919042,1.0,manual_review,check_alignment,"(1, 7481)",CalMS21_supplemental,737848535.parquet
"(0, 16492)","(1172, 16492)",16493,15321,15321,0.92894,1.0,manual_review,check_alignment,"(1172, 16492)",CalMS21_supplemental,74402262.parquet
"(0, 18570)","(52, 18570)",18571,18519,18519,0.9972,1.0,aligned,none,"(52, 18570)",CalMS21_supplemental,748397509.parquet
"(0, 17948)","(157, 17884)",17949,17728,17728,0.987687,1.0,auto_trim,trim_to_intersection,"(157, 17884)",CalMS21_supplemental,751868515.parquet
"(0, 19543)","(22, 19307)",19544,19286,19286,0.986799,1.0,auto_trim,trim_to_intersection,"(22, 19307)",CalMS21_supplemental,761253861.parquet
"(0, 36053)","(105, 36047)",36054,35943,35943,0.996921,1.0,aligned,none,"(105, 36047)",CalMS21_supplemental,763575760.parquet
"(0, 7011)","(24, 6428)",7012,6405,6405,0.913434,1.0,manual_review,check_alignment,"(24, 6428)",CalMS21_supplemental,766946181.parquet
"(0, 12894)","(20, 12894)",12895,12875,12875,0.998449,1.0,aligned,none,"(20, 12894)",CalMS21_supplemental,767129341.parquet
"(0, 6314)","(250, 6313)",6315,6064,6064,0.960253,1.0,auto_trim,trim_to_intersection,"(250, 6313)",CalMS21_supplemental,771126279.parquet
"(0, 26521)","(133, 25658)",26522,25526,25526,0.962446,1.0,auto_trim,trim_to_intersection,"(133, 25658)",CalMS21_supplemental,777923084.parquet
"(0, 16809)","(30, 16539)",16810,16510,16510,0.982153,1.0,auto_trim,trim_to_intersection,"(30, 16539)",CalMS21_supplemental,778173181.parquet
"(0, 18410)","(98, 18317)",18411,18220,18220,0.989626,1.0,auto_trim,trim_to_intersection,"(98, 18317)",CalMS21_supplemental,783482595.parquet
"(0, 17910)","(34, 17910)",17911,17877,17877,0.998102,1.0,aligned,none,"(34, 17910)",CalMS21_supplemental,811059680.parquet
"(0, 26768)","(235, 26763)",26769,26529,26529,0.991034,1.0,aligned,none,"(235, 26763)",CalMS21_supplemental,812315940.parquet
"(0, 26689)","(37, 26311)",26690,26275,26275,0.984451,1.0,auto_trim,trim_to_intersection,"(37, 26311)",CalMS21_supplemental,818194272.parquet
"(0, 27269)","(3, 27199)",27270,27197,27197,0.997323,1.0,aligned,none,"(3, 27199)",CalMS21_supplemental,826874848.parquet
"(0, 3902)","(1, 3727)",3903,3727,3727,0.954906,1.0,auto_trim,trim_to_intersection,"(1, 3727)",CalMS21_supplemental,859466703.parquet
"(0, 28248)","(147, 28248)",28249,28102,28102,0.994796,1.0,aligned,none,"(147, 28248)",CalMS21_supplemental,861175984.parquet
"(0, 17447)","(124, 17442)",17448,17319,17319,0.992607,1.0,aligned,none,"(124, 17442)",CalMS21_supplemental,867664247.parquet
"(0, 27547)","(7, 27230)",27548,27224,27224,0.988239,1.0,auto_trim,trim_to_intersection,"(7, 27230)",CalMS21_supplemental,868794783.parquet
"(0, 25968)","(40, 25956)",25969,25917,25917,0.997998,1.0,aligned,none,"(40, 25956)",CalMS21_supplemental,878542442.parquet
"(0, 19150)","(4, 18947)",19151,18944,18944,0.989191,1.0,auto_trim,trim_to_intersection,"(4, 18947)",CalMS21_supplemental,880329423.parquet
"(0, 11436)","(20, 10796)",11437,10777,10777,0.942293,1.0,manual_review,check_alignment,"(20, 10796)",CalMS21_supplemental,888737494.parquet
"(0, 4140)","(1, 4135)",4141,4135,4135,0.998551,1.0,aligned,none,"(1, 4135)",CalMS21_supplemental,889801833.parquet
"(0, 4382)","(1, 4374)",4383,4374,4374,0.997947,1.0,aligned,none,"(1, 4374)",CalMS21_supplemental,892931209.parquet
"(0, 16707)","(477, 16707)",16708,16231,16231,0.971451,1.0,auto_trim,trim_to_intersection,"(477, 16707)",CalMS21_supplemental,895050858.parquet
"(0, 18988)","(507, 18956)",18989,18450,18450,0.971615,1.0,auto_trim,trim_to_intersection,"(507, 18956)",CalMS21_supplemental,898612783.parquet
"(0, 9664)","(149, 7964)",9665,7816,7816,0.808691,1.0,manual_review,check_alignment,"(149, 7964)",CalMS21_supplemental,906511432.parquet
"(0, 30076)","(10, 30069)",30077,30060,30060,0.999435,1.0,aligned,none,"(10, 30069)",CalMS21_supplemental,918178571.parquet
"(0, 9257)","(1, 7853)",9258,7853,7853,0.848239,1.0,manual_review,check_alignment,"(1, 7853)",CalMS21_supplemental,93380531.parquet
"(0, 17939)","(129, 17914)",17940,17786,17786,0.991416,1.0,aligned,none,"(129, 17914)",CalMS21_supplemental,947901691.parquet
"(0, 27880)","(6, 27880)",27881,27875,27875,0.999785,1.0,aligned,none,"(6, 27880)",CalMS21_supplemental,950513978.parquet
"(0, 9253)","(521, 8183)",9254,7663,7663,0.828074,1.0,manual_review,check_alignment,"(521, 8183)",CalMS21_supplemental,950827076.parquet
"(0, 35925)","(149, 35827)",35926,35679,35679,0.993125,1.0,aligned,none,"(149, 35827)",CalMS21_supplemental,961477544.parquet
"(0, 19057)","(1269, 19057)",19058,17789,17789,0.933414,1.0,manual_review,check_alignment,"(1269, 19057)",CalMS21_supplemental,961918556.parquet
"(0, 27069)","(6, 26715)",27070,26710,26710,0.986701,1.0,auto_trim,trim_to_intersection,"(6, 26715)",CalMS21_supplemental,973541620.parquet
"(0, 10656)","(1, 10619)",10657,10619,10619,0.996434,1.0,aligned,none,"(1, 10619)",CalMS21_supplemental,979756439.parquet
"(0, 17337)","(1, 17337)",17338,17337,17337,0.999942,1.0,aligned,none,"(1, 17337)",CalMS21_supplemental,986093463.parquet
"(0, 37023)","(96, 37000)",37024,36905,36905,0.996786,1.0,aligned,none,"(96, 37000)",CalMS21_supplemental,996373370.parquet
"(0, 4860)","(35, 3934)",4861,3900,3900,0.802304,1.0,manual_review,check_alignment,"(35, 3934)",CalMS21_supplemental,997548234.parquet
"(0, 6178)","(0, 6031)",6179,6032,6032,0.97621,1.0,auto_trim,trim_to_intersection,"(0, 6031)",CalMS21_task1,1011533560.parquet
"(0, 11922)","(82, 11763)",11923,11682,11682,0.979787,1.0,auto_trim,trim_to_intersection,"(82, 11763)",CalMS21_task1,1036913557.parquet
"(0, 5691)","(35, 5587)",5692,5553,5553,0.97558,1.0,auto_trim,trim_to_intersection,"(35, 5587)",CalMS21_task1,1062887364.parquet
"(0, 4538)","(50, 4531)",4539,4482,4482,0.987442,1.0,auto_trim,trim_to_intersection,"(50, 4531)",CalMS21_task1,1087101060.parquet
"(0, 17318)","(0, 16845)",17319,16846,16846,0.972689,1.0,auto_trim,trim_to_intersection,"(0, 16845)",CalMS21_task1,1089428234.parquet
"(0, 10490)","(86, 10392)",10491,10307,10307,0.982461,1.0,auto_trim,trim_to_intersection,"(86, 10392)",CalMS21_task1,1094966159.parquet
"(0, 5946)","(2, 5908)",5947,5907,5907,0.993274,1.0,aligned,none,"(2, 5908)",CalMS21_task1,1104241687.parquet
"(0, 5206)","(1, 5020)",5207,5020,5020,0.964087,1.0,auto_trim,trim_to_intersection,"(1, 5020)",CalMS21_task1,1184726818.parquet
"(0, 17325)","(0, 17102)",17326,17103,17103,0.987129,1.0,auto_trim,trim_to_intersection,"(0, 17102)",CalMS21_task1,1185502231.parquet
"(0, 6689)","(14, 6630)",6690,6617,6617,0.989088,1.0,auto_trim,trim_to_intersection,"(14, 6630)",CalMS21_task1,1236987558.parquet
"(0, 9337)","(25, 9080)",9338,9056,9056,0.969801,1.0,auto_trim,trim_to_intersection,"(25, 9080)",CalMS21_task1,1254792963.parquet
"(0, 3271)","(36, 3224)",3272,3189,3189,0.974633,1.0,auto_trim,trim_to_intersection,"(36, 3224)",CalMS21_task1,1283267722.parquet
"(0, 19651)","(1, 19651)",19652,19651,19651,0.999949,1.0,aligned,none,"(1, 19651)",CalMS21_task1,1296577409.parquet
"(0, 7747)","(32, 7640)",7748,7609,7609,0.98206,1.0,auto_trim,trim_to_intersection,"(32, 7640)",CalMS21_task1,1311447023.parquet
"(0, 1960)","(46, 1880)",1961,1835,1835,0.935747,1.0,manual_review,check_alignment,"(46, 1880)",CalMS21_task1,1343953527.parquet
"(0, 6329)","(27, 6012)",6330,5986,5986,0.945656,1.0,manual_review,check_alignment,"(27, 6012)",CalMS21_task1,13638642.parquet
"(0, 7023)","(0, 6859)",7024,6860,6860,0.976651,1.0,auto_trim,trim_to_intersection,"(0, 6859)",CalMS21_task1,1377260232.parquet
"(0, 3918)","(26, 3686)",3919,3661,3661,0.934167,1.0,manual_review,check_alignment,"(26, 3686)",CalMS21_task1,1380404564.parquet
"(0, 13587)","(1717, 13056)",13588,11340,11340,0.83456,1.0,manual_review,check_alignment,"(1717, 13056)",CalMS21_task1,1391057636.parquet
"(0, 5424)","(12, 5301)",5425,5290,5290,0.975115,1.0,auto_trim,trim_to_intersection,"(12, 5301)",CalMS21_task1,1396235717.parquet
"(0, 1668)","(33, 1668)",1669,1636,1636,0.980228,1.0,auto_trim,trim_to_intersection,"(33, 1668)",CalMS21_task1,1401472494.parquet
"(0, 4134)","(1, 3964)",4135,3964,3964,0.958646,1.0,auto_trim,trim_to_intersection,"(1, 3964)",CalMS21_task1,1476380868.parquet
"(0, 17387)","(0, 17387)",17388,17388,17388,1.0,1.0,aligned,none,"(0, 17387)",CalMS21_task1,1495692909.parquet
"(0, 17471)","(0, 17316)",17472,17317,17317,0.991129,1.0,aligned,none,"(0, 17316)",CalMS21_task1,1520739403.parquet
"(0, 18422)","(0, 18363)",18423,18364,18364,0.996797,1.0,aligned,none,"(0, 18363)",CalMS21_task1,1522870122.parquet
"(0, 7861)","(27, 7727)",7862,7701,7701,0.979522,1.0,auto_trim,trim_to_intersection,"(27, 7727)",CalMS21_task1,1529875185.parquet
"(0, 1664)","(13, 1368)",1665,1356,1356,0.814414,1.0,manual_review,check_alignment,"(13, 1368)",CalMS21_task1,1561765718.parquet
"(0, 575)","(30, 552)",576,523,523,0.907986,1.0,manual_review,check_alignment,"(30, 552)",CalMS21_task1,1578732722.parquet
"(0, 7981)","(96, 7786)",7982,7691,7691,0.963543,1.0,auto_trim,trim_to_intersection,"(96, 7786)",CalMS21_task1,1640847308.parquet
"(0, 17332)","(0, 17284)",17333,17285,17285,0.997231,1.0,aligned,none,"(0, 17284)",CalMS21_task1,1682584277.parquet
"(0, 17945)","(0, 17943)",17946,17944,17944,0.999889,1.0,aligned,none,"(0, 17943)",CalMS21_task1,169344990.parquet
